mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
google-java-format,google-java-format,/google-java-format/src/test/java/com/google/googlejavaformat/NewlinesTest.java,com.google.googlejavaformat.NewlinesTest,offsets,()V,void offsets(),org.junit.Test,6,6,24,ImmutableList copyOf(Iterator elements)|IterableSubject assertThat(Iterable actual)|Iterator<Integer> lineOffsetIterator(String input)|Ordered containsExactly(Object[] varargs),4,,0,,0,0,0,0,0,,0,0,,0,,0
google-java-format,google-java-format,/google-java-format/src/test/java/com/google/googlejavaformat/NewlinesTest.java,com.google.googlejavaformat.NewlinesTest,lines,()V,void lines(),org.junit.Test,6,6,24,ImmutableList copyOf(Iterator elements)|IterableSubject assertThat(Iterable actual)|Iterator<String> lineIterator(String input)|Ordered containsExactly(Object[] varargs),4,,0,,0,0,0,0,0,,0,0,,0,,0
google-java-format,google-java-format,/google-java-format/src/test/java/com/google/googlejavaformat/NewlinesTest.java,com.google.googlejavaformat.NewlinesTest,terminalOffset,()V,void terminalOffset(),org.junit.Test,9,13,11,Iterator<Integer> lineOffsetIterator(String input)|Object next()|void fail(),3,,0,,0,0,0,0,0,,2,2,,0,,0
google-java-format,google-java-format,/google-java-format/src/test/java/com/google/googlejavaformat/NewlinesTest.java,com.google.googlejavaformat.NewlinesTest,terminalLine,()V,void terminalLine(),org.junit.Test,8,12,10,Iterator<String> lineIterator(String input)|Object next()|void fail(),3,,0,,0,0,0,0,0,,2,2,,0,,0
google-java-format,google-java-format,/google-java-format/src/test/java/com/google/googlejavaformat/java/RemoveUnusedImportsTest.java,com.google.googlejavaformat.java.RemoveUnusedImportsTest,removeUnused,()V,void removeUnused(),org.junit.Test,1,1,3,String removeUnusedImports(String contents)|StringSubject assertThat(String actual)|void isEqualTo(Object expected),3,,0,,0,1,1,0,0,com.google.googlejavaformat.java.FormatterException,0,0,,0,,0
google-java-format,google-java-format,/google-java-format/src/test/java/com/google/googlejavaformat/java/JavadocFormattingTest.java,com.google.googlejavaformat.java.JavadocFormattingTest,notJavadoc,()V,void notJavadoc(),org.junit.Test,3,3,1,void doFormatTest(String[] input; String[] expected),1,void doFormatTest(String[] input; String[] expected),1,,0,0,0,0,0,,0,0,,0,,0
google-java-format,google-java-format,/google-java-format/src/test/java/com/google/googlejavaformat/java/JavadocFormattingTest.java,com.google.googlejavaformat.java.JavadocFormattingTest,empty,()V,void empty(),org.junit.Test,3,3,1,void doFormatTest(String[] input; String[] expected),1,void doFormatTest(String[] input; String[] expected),1,,0,0,0,0,0,,0,0,,0,,0
google-java-format,google-java-format,/google-java-format/src/test/java/com/google/googlejavaformat/java/JavadocFormattingTest.java,com.google.googlejavaformat.java.JavadocFormattingTest,emptyMultipleLines,()V,void emptyMultipleLines(),org.junit.Test,3,3,1,void doFormatTest(String[] input; String[] expected),1,void doFormatTest(String[] input; String[] expected),1,,0,0,0,0,0,,0,0,,0,,0
google-java-format,google-java-format,/google-java-format/src/test/java/com/google/googlejavaformat/java/JavadocFormattingTest.java,com.google.googlejavaformat.java.JavadocFormattingTest,simple,()V,void simple(),org.junit.Test,3,3,1,void doFormatTest(String[] input; String[] expected),1,void doFormatTest(String[] input; String[] expected),1,,0,0,0,0,0,,0,0,,0,,0
google-java-format,google-java-format,/google-java-format/src/test/java/com/google/googlejavaformat/java/JavadocFormattingTest.java,com.google.googlejavaformat.java.JavadocFormattingTest,commentMostlyUntouched,()V,void commentMostlyUntouched(),org.junit.Test,3,3,1,void doFormatTest(String[] input; String[] expected),1,void doFormatTest(String[] input; String[] expected),1,,0,0,0,0,0,,0,0,,0,,0
google-java-format,google-java-format,/google-java-format/src/test/java/com/google/googlejavaformat/java/JavadocFormattingTest.java,com.google.googlejavaformat.java.JavadocFormattingTest,moeComments,()V,void moeComments(),org.junit.Test,3,3,1,void doFormatTest(String[] input; String[] expected),1,void doFormatTest(String[] input; String[] expected),1,,0,0,0,0,0,,0,0,,0,,0
