mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/configuration/GreenMailConfigurationTest.java,com.icegreen.greenmail.configuration.GreenMailConfigurationTest,testUsersAccessible,()V,void testUsersAccessible(),org.junit.Test,3,5,5,GreenMail withConfiguration(GreenMailConfiguration config)|GreenMailConfiguration testUsersAccessibleConfig()|void start()|void stop()|void testUsersAccessible(GreenMailOperations greenMail),5,,0,,0,0,0,0,0,,0,2,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/configuration/GreenMailRuleConfigurationTest.java,com.icegreen.greenmail.configuration.GreenMailRuleConfigurationTest,testUsersAccessible,()V,void testUsersAccessible(),org.junit.Test,1,1,1,void testUsersAccessible(GreenMailOperations greenMail),1,,0,,0,0,0,0,0,,0,2,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,com.icegreen.greenmail.configuration.PropertiesBasedGreenMailConfigurationBuilderTest,testBuildForSingleUser,()V,void testBuildForSingleUser(),org.junit.Test,5,5,9,GreenMailConfiguration build(Properties properties)|List<UserBean> getUsersToCreate()|Object get(int index)|Properties createPropertiesFor(String key; String value)|int size()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertNotNull(Object object),8,Properties createPropertiesFor(String key; String value),1,,0,0,0,0,0,,3,3,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,com.icegreen.greenmail.configuration.PropertiesBasedGreenMailConfigurationBuilderTest,testBuildForListOfUsers,()V,void testBuildForListOfUsers(),org.junit.Test,7,7,15,GreenMailConfiguration build(Properties properties)|List<UserBean> getUsersToCreate()|Object get(int index)|Properties createPropertiesFor(String key; String value)|int size()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertNotNull(Object object),8,Properties createPropertiesFor(String key; String value),1,,0,0,0,0,0,,5,5,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,com.icegreen.greenmail.configuration.PropertiesBasedGreenMailConfigurationBuilderTest,testBuildWithAuthenticationDisabledSetting,()V,void testBuildWithAuthenticationDisabledSetting(),org.junit.Test,4,4,5,GreenMailConfiguration build(Properties properties)|Properties createPropertiesFor(String key; String value)|boolean isAuthenticationDisabled()|void assertNotNull(Object object)|void assertTrue(boolean condition),5,Properties createPropertiesFor(String key; String value),1,,0,0,0,0,0,,2,2,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/examples/ExampleJavaMailTest.java,com.icegreen.greenmail.examples.ExampleJavaMailTest,testSendAndReceive,()V,void testSendAndReceive(),org.junit.Test,26,26,35,Folder getFolder(String name)|GreenMailUser setUser(String email; String login; String password)|IMAPStore createStore()|ImapServer getImap()|Message getMessage(int msgnum)|MimeMessage[] getReceivedMessagesForDomain(String domain)|Session createSession()|SmtpServer getSmtp()|Store getStore(String protocol)|String getSubject()|void addRecipient(Message.RecipientType type; Address address)|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void close()|void connect(String user; String password)|void open(int mode)|void send(Message msg)|void setFrom(Address address)|void setSubject(String subject)|void setText(String text),20,,0,,0,23,23,0,0,javax.mail.MessagingException|javax.mail.NoSuchProviderException,4,4,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/examples/ExampleReceiveTest.java,com.icegreen.greenmail.examples.ExampleReceiveTest,testReceive,()V,void testReceive(),org.junit.Test,4,4,6,GreenMailUser setUser(String email; String login; String password)|MimeMessage createMimeMessage()|MimeMessage[] getReceivedMessages()|void assertEquals(long expected; long actual)|void deliver(MimeMessage msg)|void sendTextEmailTest(String to; String from; String subject; String msg),6,MimeMessage createMimeMessage(),1,,0,0,0,0,0,,1,1,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/examples/ExampleSendTest.java,com.icegreen.greenmail.examples.ExampleSendTest,testSend,()V,void testSend(),org.junit.Test,2,2,4,MimeMessage[] getReceivedMessages()|String getBody(Part msg)|void assertEquals(Object expected; Object actual)|void sendTextEmailTest(String to; String from; String subject; String msg),4,,0,,0,0,0,0,0,,1,1,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/examples/ExamplePurgeAllEmailsTest.java,com.icegreen.greenmail.examples.ExamplePurgeAllEmailsTest,testremoveAllMessagesInImapMailbox,()V,void testremoveAllMessagesInImapMailbox(),org.junit.Test,1,7,8,GreenMailUser setUser(String login; String password)|ImapServer getImap()|Message[] getMessages(String account; String password)|boolean waitForIncomingEmail(int emailCount)|void assertEquals(long expected; long actual)|void assertTrue(boolean condition)|void purgeEmailFromAllMailboxes()|void sendTextEmail(String to; String from; String subject; String msg; ServerSetup setup),8,,0,,0,1,1,0,0,com.icegreen.greenmail.store.FolderException,2,2,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/examples/ExampleRuleTest.java,com.icegreen.greenmail.examples.ExampleRuleTest,testSomething,()V,void testSomething(),org.junit.Test,5,5,7,MimeMessage[] getReceivedMessages()|String getBody(Part msg)|String getSubject()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void sendTextEmailTest(String to; String from; String subject; String msg),6,,0,,0,1,1,0,0,javax.mail.MessagingException,3,3,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/examples/ExampleSendNoRuleAdvTest.java,com.icegreen.greenmail.examples.ExampleSendNoRuleAdvTest,testSend,()V,void testSend(),org.junit.Test,2,17,27,BodyPart getBodyPart(int index)|MimeMessage[] getReceivedMessages()|Object getContent()|String getBody(Part msg)|String getSubject()|String random()|String trim()|boolean waitForIncomingEmail(long timeout; int emailCount)|int getCount()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertTrue(boolean condition)|void sendTestMails(String subject; String body)|void start()|void stop(),15,void sendTestMails(String subject; String body),1,,0,7,9,0,0,java.io.IOException|javax.mail.MessagingException,8,8,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/examples/ExampleSendReceiveMessageWithInlineAttachmentTest.java,com.icegreen.greenmail.examples.ExampleSendReceiveMessageWithInlineAttachmentTest,sendAndFetchMailMessageWithInlineAttachment,()V,void sendAndFetchMailMessageWithInlineAttachment(),org.junit.Test,3,3,3,GreenMailUser setUser(String email; String login; String password)|void fetchEmailWithInlineAttachment()|void sendMailMessageWithInlineAttachment(),3,void fetchEmailWithInlineAttachment()|void sendMailMessageWithInlineAttachment(),2,,0,2,4,0,0,java.io.IOException|java.security.GeneralSecurityException|javax.mail.MessagingException,0,2,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/examples/ExampleDisableAuthenticationTest.java,com.icegreen.greenmail.examples.ExampleDisableAuthenticationTest,testNoAuthIMAP,()V,void testNoAuthIMAP(),org.junit.Test,1,3,3,ImapServer getImap()|Message[] getMessages(String account)|void assertEquals(long expected; long actual),3,,0,,0,0,0,0,0,,1,1,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/examples/ExampleDisableAuthenticationTest.java,com.icegreen.greenmail.examples.ExampleDisableAuthenticationTest,testExistingUserNotRecreated,()V,void testExistingUserNotRecreated(),org.junit.Test,1,4,8,ImapServer getImap()|Managers getManagers()|Matcher equalTo(Object operand)|Message[] getMessages(String account)|UserManager getUserManager()|boolean hasUser(String userId)|void assertEquals(long expected; long actual)|void assertThat(Object actual; Matcher matcher),8,,0,,0,0,0,0,0,,1,1,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/examples/ExampleSendNoRuleSimpleTest.java,com.icegreen.greenmail.examples.ExampleSendNoRuleSimpleTest,testSend,()V,void testSend(),org.junit.Test,2,6,6,MimeMessage[] getReceivedMessages()|String getBody(Part msg)|void assertEquals(Object expected; Object actual)|void sendTextEmailTest(String to; String from; String subject; String msg)|void start()|void stop(),6,,0,,0,0,0,0,0,,1,1,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/examples/ExampleReceiveNoRuleTest.java,com.icegreen.greenmail.examples.ExampleReceiveNoRuleTest,testReceive,()V,void testReceive(),org.junit.Test,2,10,9,GreenMailUser setUser(String email; String login; String password)|MimeMessage createMimeMessage(String subject; String body; GreenMail greenMail)|MimeMessage[] getReceivedMessages()|String random()|void assertEquals(long expected; long actual)|void deliver(MimeMessage msg)|void start()|void stop(),8,MimeMessage createMimeMessage(String subject; String body; GreenMail greenMail),1,,0,0,0,0,0,,1,1,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,com.icegreen.greenmail.imap.commands.ImapProtocolTest,testListAndStatusWithNonExistingFolder,()V,void testListAndStatusWithNonExistingFolder(),org.junit.Test,2,7,7,Folder getFolder(String name)|Object doCommand(IMAPFolder.ProtocolCommand cmd)|boolean exists()|void assertFalse(boolean condition)|void connect(String user; String password)|void open(int mode),6,,0,,0,6,6,0,0,javax.mail.MessagingException,1,1,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,com.icegreen.greenmail.imap.commands.ImapProtocolTest,testFetchUidsAndSize,()V,void testFetchUidsAndSize(),org.junit.Test,2,5,4,Folder getFolder(String name)|Object doCommand(IMAPFolder.ProtocolCommand cmd)|void connect(String user; String password)|void open(int mode),4,,0,,0,4,4,0,0,javax.mail.MessagingException,0,0,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,com.icegreen.greenmail.imap.commands.ImapProtocolTest,testFetchSpaceBeforeSize,()V,void testFetchSpaceBeforeSize(),org.junit.Test,2,5,4,Folder getFolder(String name)|Object doCommand(IMAPFolder.ProtocolCommand cmd)|void connect(String user; String password)|void open(int mode),4,,0,,0,4,4,0,0,javax.mail.MessagingException,0,0,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,com.icegreen.greenmail.imap.commands.ImapProtocolTest,testSearchSequenceSet,()V,void testSearchSequenceSet(),org.junit.Test,2,5,4,Folder getFolder(String name)|Object doCommand(IMAPFolder.ProtocolCommand cmd)|void connect(String user; String password)|void open(int mode),4,,0,,0,4,4,0,0,javax.mail.MessagingException,0,0,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,com.icegreen.greenmail.imap.commands.ImapProtocolTest,testUidSearchSequenceSet,()V,void testUidSearchSequenceSet(),org.junit.Test,2,9,8,Folder getFolder(String name)|Message[] getMessages()|Object doCommand(IMAPFolder.ProtocolCommand cmd)|Object put(Object key; Object value)|int getMessageNumber()|long getUID(Message message)|void connect(String user; String password)|void open(int mode),8,,0,,0,6,6,0,0,javax.mail.MessagingException,0,0,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,com.icegreen.greenmail.imap.commands.ImapProtocolTest,testSearchNotFlags,()V,void testSearchNotFlags(),org.junit.Test,2,6,5,Folder getFolder(String name)|Object doCommand(IMAPFolder.ProtocolCommand cmd)|void connect(String user; String password)|void open(int mode)|void setFlags(int[] msgnums; Flags flag; boolean value),5,,0,,0,5,5,0,0,javax.mail.MessagingException,0,0,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,com.icegreen.greenmail.imap.commands.ImapProtocolTest,testGetMessageByUnknownUidInEmptyINBOX,()V,void testGetMessageByUnknownUidInEmptyINBOX(),org.junit.Test,3,8,10,Folder getFolder(String name)|ImapHostManager getImapHostManager()|MailFolder getInbox(GreenMailUser user)|Managers getManagers()|Message getMessageByUID(long uid)|void assertEquals(Object expected; Object actual)|void close()|void connect(String user; String password)|void deleteAllMessages()|void open(int mode),10,,0,,0,6,6,0,0,com.icegreen.greenmail.store.FolderException|javax.mail.MessagingException,1,1,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,com.icegreen.greenmail.imap.commands.ImapProtocolTest,testUidSearchText,()V,void testUidSearchText(),org.junit.Test,2,10,9,Folder getFolder(String name)|Message[] getMessages()|Object doCommand(IMAPFolder.ProtocolCommand cmd)|Object put(Object key; Object value)|String toString(long i)|int getMessageNumber()|long getUID(Message message)|void connect(String user; String password)|void open(int mode),9,,0,,0,6,6,0,0,javax.mail.MessagingException,0,0,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,com.icegreen.greenmail.imap.commands.ImapProtocolTest,testRenameFolder,()V,void testRenameFolder(),org.junit.Test,2,5,4,Folder getFolder(String name)|Object doCommand(IMAPFolder.ProtocolCommand cmd)|void connect(String user; String password)|void open(int mode),4,,0,,0,4,4,0,0,javax.mail.MessagingException,0,0,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,com.icegreen.greenmail.imap.commands.ImapProtocolTest,testUidSearchTextWithCharset,()V,void testUidSearchTextWithCharset(),org.junit.Test,3,18,14,Argument writeBytes(byte[] b)|Folder getFolder(String name)|GreenMailUser setUser(String login; String password)|MimeMessage createTextEmail(String to; String from; String subject; String msg; ServerSetup setup)|ServerSetup getServerSetup()|SmtpServer getSmtp()|byte[] getBytes(String charsetName)|void close()|void connect(String user; String password)|void open(int mode)|void searchAndValidateWithCharset(IMAPFolder folder; String expected; String charset; Argument arg)|void sendMimeMessage(MimeMessage mimeMessage)|void setSubject(String subject; String charset),13,void searchAndValidateWithCharset(IMAPFolder folder; String expected; String charset; Argument arg),1,,0,8,8,0,0,java.io.UnsupportedEncodingException|javax.mail.MessagingException,0,0,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/imap/commands/ImapProtocolTest.java,com.icegreen.greenmail.imap.commands.ImapProtocolTest,testUidSearchAll,()V,void testUidSearchAll(),org.junit.Test,3,7,7,Folder getFolder(String name)|GreenMailUser setUser(String login; String password)|MimeMessage createTextEmail(String to; String from; String subject; String msg; ServerSetup setup)|ServerSetup getServerSetup()|SmtpServer getSmtp()|void connect(String user; String password)|void open(int mode),7,,0,,0,3,3,0,0,javax.mail.MessagingException,0,0,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/imap/commands/CommandParserTest.java,com.icegreen.greenmail.imap.commands.CommandParserTest,test,()V,void test(),org.junit.Test,3,3,6,boolean isCrOrLf(char chr)|void assertFalse(boolean condition)|void assertTrue(boolean condition),3,,0,,0,0,0,0,0,,3,3,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/imap/commands/SearchTermBuilderTest.java,com.icegreen.greenmail.imap.commands.SearchTermBuilderTest,testUidSearchTerm,()V,void testUidSearchTerm(),org.junit.Test,2,8,5,List<IdRange> parseRangeSequence(String idRangeSequence)|boolean match(long id)|void assertFalse(String message; boolean condition)|void assertTrue(String message; boolean condition),4,,0,,0,0,0,0,0,,2,2,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/imap/commands/SearchCommandParserTest.java,com.icegreen.greenmail.imap.commands.SearchCommandParserTest,testSmallerParseCommand,()V,void testSmallerParseCommand(),org.junit.Test,5,5,3,SearchTerm searchTerm(ImapRequestLineReader request)|byte[] getBytes()|void assertEquals(Object expected; Object actual),3,,0,,0,1,2,0,0,com.icegreen.greenmail.imap.ProtocolException|java.nio.charset.CharacterCodingException,1,1,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/imap/commands/SearchCommandParserTest.java,com.icegreen.greenmail.imap.commands.SearchCommandParserTest,testLargerParseCommand,()V,void testLargerParseCommand(),org.junit.Test,5,5,3,SearchTerm searchTerm(ImapRequestLineReader request)|byte[] getBytes()|void assertEquals(Object expected; Object actual),3,,0,,0,1,2,0,0,com.icegreen.greenmail.imap.ProtocolException|java.nio.charset.CharacterCodingException,1,1,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/imap/commands/SearchCommandParserTest.java,com.icegreen.greenmail.imap.commands.SearchCommandParserTest,testSmallerAndLargerParseCommand,()V,void testSmallerAndLargerParseCommand(),org.junit.Test,5,5,3,SearchTerm searchTerm(ImapRequestLineReader request)|byte[] getBytes()|void assertEquals(Object expected; Object actual),3,,0,,0,1,2,0,0,com.icegreen.greenmail.imap.ProtocolException|java.nio.charset.CharacterCodingException,1,1,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/server/AllocateAvailablePortTest.java,com.icegreen.greenmail.server.AllocateAvailablePortTest,returnTheActuallyAllocatedPort,()V,void returnTheActuallyAllocatedPort(),org.junit.Test,1,1,4,Matcher not(Object value)|SmtpServer getSmtp()|int getPort()|void assertThat(Object actual; Matcher matcher),4,,0,,0,0,0,0,0,,0,0,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/server/AllocateAvailablePortTest.java,com.icegreen.greenmail.server.AllocateAvailablePortTest,ensureThatMailCanActuallyBeSentToTheAllocatedPort,()V,void ensureThatMailCanActuallyBeSentToTheAllocatedPort(),org.junit.Test,3,3,7,Matcher is(Object value)|MimeMessage[] getReceivedMessages()|ServerSetup smtpServerAtPort(int port)|SmtpServer getSmtp()|int getPort()|void assertThat(Object actual; Matcher matcher)|void sendTextEmail(String to; String from; String subject; String msg; ServerSetup setup),7,ServerSetup smtpServerAtPort(int port),1,,0,0,0,0,0,,0,0,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/test/Pop3ServerTest.java,com.icegreen.greenmail.test.Pop3ServerTest,testPop3Capabillities,()V,void testPop3Capabillities(),org.junit.Test,4,6,10,GreenMailUser createUser(String email; String login; String password)|Managers getManagers()|Map capabilities()|POP3Store createStore()|Pop3Server getPop3()|UserManager getUserManager()|boolean containsKey(Object key)|void assertTrue(boolean condition)|void close()|void connect(String user; String password),10,,0,,0,5,5,0,0,com.icegreen.greenmail.user.UserException|javax.mail.MessagingException|javax.mail.NoSuchProviderException,1,1,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/test/Pop3ServerTest.java,com.icegreen.greenmail.test.Pop3ServerTest,testRetrieve,()V,void testRetrieve(),org.junit.Test,7,13,19,Folder getFolder()|Message[] getMessages(String account)|Pop3Server getPop3()|String getBody(Part msg)|String getSubject()|String getUID(Message msg)|String random()|String trim()|boolean waitForIncomingEmail(long timeout; int emailCount)|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertNotEquals(Object unexpected; Object actual)|void assertNotNull(Object object)|void sendTextEmailTest(String to; String from; String subject; String msg),14,,0,,0,2,2,0,0,javax.mail.MessagingException,5,5,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/test/Pop3ServerTest.java,com.icegreen.greenmail.test.Pop3ServerTest,testPop3sReceive,()V,void testPop3sReceive(),org.junit.Test,7,11,14,Message[] getMessages(String account)|Pop3Server getPop3s()|String getBody(Part msg)|String getSubject()|String random()|String trim()|boolean waitForIncomingEmail(long timeout; int emailCount)|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertNotNull(Object object)|void sendTextEmailSecureTest(String to; String from; String subject; String msg),11,,0,,0,1,1,0,0,javax.mail.MessagingException,4,4,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/test/Pop3ServerTest.java,com.icegreen.greenmail.test.Pop3ServerTest,testRetrieveWithNonDefaultPassword,()V,void testRetrieveWithNonDefaultPassword(),org.junit.Test,9,16,17,GreenMailUser setUser(String login; String password)|Message[] getMessages(String account; String password)|Pop3Server getPop3()|String getBody(Part msg)|String getSubject()|String random()|String trim()|boolean waitForIncomingEmail(long timeout; int emailCount)|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertNotNull(Object object)|void fail(String message)|void sendTextEmailTest(String to; String from; String subject; String msg),13,,0,,0,1,1,0,0,javax.mail.MessagingException,5,5,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/test/Pop3ServerTest.java,com.icegreen.greenmail.test.Pop3ServerTest,testRetrieveMultipart,()V,void testRetrieveMultipart(),org.junit.Test,7,22,24,BodyPart getBodyPart(int index)|InputStream getInputStream()|Message[] getMessages(String account)|Object getContent()|Pop3Server getPop3()|String getBody(Part msg)|String random()|String trim()|boolean waitForIncomingEmail(long timeout; int emailCount)|byte[] toByteArray()|int getCount()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertNotNull(Object object)|void assertTrue(boolean condition)|void copyStream(InputStream src; OutputStream dest)|void sendAttachmentEmail(String to; String from; String subject; String msg; byte[] attachment; String contentType; String filename; String description; ServerSetup setup),17,,0,,0,6,8,0,0,java.io.IOException|javax.mail.MessagingException,6,6,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/test/RetrieverTest.java,com.icegreen.greenmail.test.RetrieverTest,testCreateRetriever,()V,void testCreateRetriever(),org.junit.Test,6,10,8,ImapServer getImap()|ImapServer getImaps()|Pop3Server getPop3()|Pop3Server getPop3s()|SmtpServer getSmtp()|SmtpServer getSmtps()|void fail(String message),7,,0,,0,0,0,0,0,,2,2,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/test/SmtpServerTest.java,com.icegreen.greenmail.test.SmtpServerTest,testSmtpServerBasic,()V,void testSmtpServerBasic(),org.junit.Test,5,5,7,MimeMessage[] getReceivedMessages()|String getBody(Part msg)|String getSubject()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void sendTextEmailTest(String to; String from; String subject; String msg),6,,0,,0,1,1,0,0,javax.mail.MessagingException,3,3,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/test/SmtpServerTest.java,com.icegreen.greenmail.test.SmtpServerTest,testSmtpServerTimeout,()V,void testSmtpServerTimeout(),org.junit.Test,6,6,8,MimeMessage[] getReceivedMessages()|boolean waitForIncomingEmail(long timeout; int emailCount)|long currentTimeMillis()|void assertEquals(long expected; long actual)|void assertTrue(boolean condition),5,,0,,0,0,0,0,0,,3,3,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/test/SmtpServerTest.java,com.icegreen.greenmail.test.SmtpServerTest,testSmtpServerReceiveWithSetup,()V,void testSmtpServerReceiveWithSetup(),org.junit.Test,9,9,13,MimeMessage[] getReceivedMessages()|String getBody(Part msg)|String getSubject()|String random()|String trim()|boolean waitForIncomingEmail(long timeout; int emailCount)|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void sendTextEmailTest(String to; String from; String subject; String msg),9,,0,,0,1,1,0,0,javax.mail.MessagingException,4,4,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/test/SmtpServerTest.java,com.icegreen.greenmail.test.SmtpServerTest,testSmtpsServerReceive,()V,void testSmtpsServerReceive(),org.junit.Test,9,9,13,MimeMessage[] getReceivedMessages()|String getBody(Part msg)|String getSubject()|String random()|String trim()|boolean waitForIncomingEmail(long timeout; int emailCount)|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void sendTextEmailSecureTest(String to; String from; String subject; String msg),9,,0,,0,1,1,0,0,javax.mail.MessagingException,4,4,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/test/SmtpServerTest.java,com.icegreen.greenmail.test.SmtpServerTest,testSmtpServerReceiveInThread,()V,void testSmtpServerReceiveInThread(),org.junit.Test,7,2,2,MimeMessage[] getReceivedMessages()|void assertEquals(long expected; long actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/test/SmtpServerTest.java,com.icegreen.greenmail.test.SmtpServerTest,testSmtpServerReceiveMultipart,()V,void testSmtpServerReceiveMultipart(),org.junit.Test,21,22,26,BodyPart getBodyPart(int index)|InputStream getInputStream()|MimeMessage[] getReceivedMessages()|Object getContent()|String getBody(Part msg)|String getSubject()|String random()|String trim()|boolean waitForIncomingEmail(long timeout; int emailCount)|byte[] toByteArray()|int getCount()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertTrue(boolean condition)|void copyStream(InputStream src; OutputStream dest)|void sendAttachmentEmail(String to; String from; String subject; String msg; byte[] attachment; String contentType; String filename; String description; ServerSetup setup),16,,0,,0,7,9,0,0,java.io.IOException|javax.mail.MessagingException,8,8,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/test/SmtpServerTest.java,com.icegreen.greenmail.test.SmtpServerTest,testSmtpServerLeadingPeriods,()V,void testSmtpServerLeadingPeriods(),org.junit.Test,6,6,7,MimeMessage[] getReceivedMessages()|String getBody(Part msg)|String getSubject()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void sendTextEmailTest(String to; String from; String subject; String msg),6,,0,,0,1,1,0,0,javax.mail.MessagingException,3,3,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/test/SmtpServerTest.java,com.icegreen.greenmail.test.SmtpServerTest,testSendAndWaitForIncomingMailsInBcc,()V,void testSendAndWaitForIncomingMailsInBcc(),org.junit.Test,9,9,13,MimeMessage createTextEmail(String to; String from; String subject; String msg; ServerSetup setup)|MimeMessage[] getReceivedMessages()|ServerSetup getServerSetup()|SmtpServer getSmtp()|String random()|boolean waitForIncomingEmail(long timeout; int emailCount)|void addRecipients(Message.RecipientType type; String addresses)|void assertEquals(long expected; long actual)|void assertTrue(boolean condition)|void sendMimeMessage(MimeMessage mimeMessage),10,,0,,0,1,1,0,0,javax.mail.MessagingException,3,3,,0,,0
greenmail,greenmail,/greenmail/src/test/java/com/icegreen/greenmail/test/SmtpServerTest.java,com.icegreen.greenmail.test.SmtpServerTest,testAuth,()V,void testAuth(),org.junit.Test,12,16,22,GreenMailUser setUser(String login; String password)|MimeMessage createTextEmail(String to; String from; String subject; String msg; ServerSetup setup)|MimeMessage[] getReceivedMessages()|ServerSetup getServerSetup()|SmtpServer getSmtp()|String getBody(Part msg)|String getMessage()|String getSubject()|String random()|String trim()|boolean contains(CharSequence s)|boolean waitForIncomingEmail(long timeout; int emailCount)|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual)|void assertTrue(boolean condition)|void send(Message msg)|void send(Message msg; String user; String password),17,,0,,0,4,4,0,0,javax.mail.MessagingException,5,5,,0,,0
