GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hibernate OGM Core,org.hibernate.ogm.query.parsing.impl,ParserPropertyHelper,519,0,70,0,112,0,51,0,16,0
Hibernate OGM Core,org.hibernate.ogm.query.parsing.impl,KeepNamedParametersQueryRendererDelegate,297,0,26,0,68,0,28,0,15,0
Hibernate OGM Core,org.hibernate.ogm.query.parsing.impl,HibernateOGMQueryResolverDelegate,185,0,14,0,33,0,27,0,20,0
Hibernate OGM Core,org.hibernate.ogm.loader.impl,OgmColumnCollectionAliases,5,28,0,0,2,9,2,4,2,4
Hibernate OGM Core,org.hibernate.ogm.loader.impl,OgmLoader,472,1279,97,113,87,307,75,68,3,35
Hibernate OGM Core,org.hibernate.ogm.loader.impl,OgmLoadingContext,22,13,3,1,7,3,4,3,2,3
Hibernate OGM Core,org.hibernate.ogm.loader.impl,OgmBasicCollectionLoader,58,45,12,2,20,10,7,5,0,5
Hibernate OGM Core,org.hibernate.ogm.util.configurationreader.spi,ConfigurationPropertyReader,12,24,0,0,4,7,2,3,2,3
Hibernate OGM Core,org.hibernate.ogm.jpa,HibernateOgmPersistence,132,0,12,0,30,0,14,0,8,0
Hibernate OGM Core,org.hibernate.ogm.persister.impl,OgmCollectionPersister.BasicColumnMapperImpl,44,0,2,0,8,0,3,0,2,0
Hibernate OGM Core,org.hibernate.ogm.persister.impl,UnionSubclassOgmEntityPersister,13,0,0,0,3,0,2,0,2,0
Hibernate OGM Core,org.hibernate.ogm.persister.impl,NotNeededDiscriminator,10,14,0,0,5,6,5,5,5,5
Hibernate OGM Core,org.hibernate.ogm.persister.impl,SingleTableOgmEntityPersister,26,16,3,1,6,4,3,2,1,2
Hibernate OGM Core,org.hibernate.ogm.persister.impl,ColumnBasedDiscriminator,289,0,14,0,73,0,23,0,16,0
Hibernate OGM Core,org.hibernate.ogm.persister.impl,OgmCollectionPersister,450,1284,67,105,74,307,68,71,14,39
Hibernate OGM Core,org.hibernate.ogm.persister.impl,OgmEntityPersister,2028,1409,293,121,389,316,223,85,43,58
Hibernate OGM Core,org.hibernate.ogm.persister.impl,OgmCollectionPersister.RowKeyAndTuple,0,3,0,0,0,1,0,1,0,1
Hibernate OGM Core,org.hibernate.ogm.persister.impl,BiDirectionalAssociationHelper,122,113,24,16,30,23,18,8,2,4
Hibernate OGM Core,org.hibernate.ogm.persister.impl,EntityAssociationUpdater,369,78,34,6,80,24,25,10,6,9
Hibernate OGM Core,org.hibernate.ogm.persister.impl,TablePerClassDiscriminator,71,0,4,0,21,0,12,0,10,0
Hibernate OGM Core,org.hibernate.ogm.persister.impl,OgmCollectionPersister.AssociationType,9,39,0,0,0,4,2,2,2,2
Hibernate OGM Core,org.hibernate.ogm.persister.impl,OgmCollectionPersister.BasicColumnMapperImpl.new ColumnReference() {...},12,0,0,0,2,0,2,0,2,0
Hibernate OGM Core,org.hibernate.ogm.persister.impl,OgmCollectionPersister.Action,9,29,0,0,0,2,2,2,2,2
Hibernate OGM Core,org.hibernate.ogm.datastore.document.association.spi,AssociationRows,59,0,4,0,12,0,7,0,5,0
Hibernate OGM Core,org.hibernate.ogm.datastore.document.association.spi,AssociationRow,117,0,6,0,21,0,10,0,7,0
Hibernate OGM Core,org.hibernate.ogm.datastore.document.association.spi,StructureOptimizerAssociationRowFactory,53,0,2,0,17,0,3,0,2,0
Hibernate OGM Core,org.hibernate.ogm.datastore.document.options.impl,MapStorageConverter,10,0,0,0,2,0,2,0,2,0
Hibernate OGM Core,org.hibernate.ogm.datastore.document.options.impl,AssociationStorageConverter,10,0,0,0,2,0,2,0,2,0
Hibernate OGM Core,org.hibernate.ogm.service.impl,OgmJdbcServicesInitiator,0,15,0,0,0,4,0,4,0,4
Hibernate OGM Core,org.hibernate.ogm.service.impl,NativeNoSqlQueryInterpreterInitiator,5,23,1,1,1,8,1,5,0,5
Hibernate OGM Core,org.hibernate.ogm.service.impl,OgmSessionFactoryServiceRegistryFactoryImpl,8,47,1,3,2,10,1,3,0,2
Hibernate OGM Core,org.hibernate.ogm.service.impl,DefaultSchemaInitializationContext,196,9,18,0,37,4,16,1,7,1
Hibernate OGM Core,org.hibernate.ogm.service.impl,OgmSessionFactoryServiceInitiators,3,22,0,0,1,1,1,1,1,1
Hibernate OGM Core,org.hibernate.ogm.service.impl,QueryParserServicesInitiator,27,10,0,0,7,3,1,3,1,3
Hibernate OGM Core,org.hibernate.ogm.service.impl,OgmJdbcServicesInitiator.OgmJdbcServicesImpl,17,39,0,0,4,11,4,7,4,7
Hibernate OGM Core,org.hibernate.ogm.service.impl,OgmSessionFactoryServiceContributor,19,0,2,0,5,0,3,0,2,0
Hibernate OGM Core,org.hibernate.ogm.service.impl,OgmSessionFactoryServiceRegistryFactoryInitiator,0,15,0,0,0,4,0,4,0,4
Hibernate OGM Core,org.hibernate.ogm.service.impl,OgmIntegrator,45,36,2,2,10,12,2,5,0,5
Hibernate OGM Core,org.hibernate.ogm.service.impl,SchemaDefiningObserver,0,33,0,0,0,11,0,3,0,3
Hibernate OGM Core,org.hibernate.ogm.service.impl,SessionFactoryEntityNamesResolver,24,0,0,0,5,0,2,0,2,0
Hibernate OGM Core,org.hibernate.ogm.model.impl,DefaultAssociationKeyMetadata.Builder,0,67,0,0,0,25,0,13,0,13
Hibernate OGM Core,org.hibernate.ogm.model.impl,EntityKeyBuilder,3,21,0,0,2,6,1,2,1,2
Hibernate OGM Core,org.hibernate.ogm.model.impl,DefaultIdSourceKeyMetadata,153,0,18,0,35,0,20,0,11,0
Hibernate OGM Core,org.hibernate.ogm.model.impl,RowKeyBuilder,0,125,0,6,0,20,0,10,0,7
Hibernate OGM Core,org.hibernate.ogm.model.impl,DefaultAssociatedEntityKeyMetadata,38,27,4,0,8,5,5,2,3,2
Hibernate OGM Core,org.hibernate.ogm.model.impl,DefaultEntityKeyMetadata,56,69,14,2,12,18,9,7,1,7
Hibernate OGM Core,org.hibernate.ogm.model.impl,DefaultAssociationKeyMetadata,135,123,24,0,32,24,21,9,9,9
Hibernate OGM Core,org.hibernate.ogm.entityentry.impl,OgmEntityEntryState,15,94,4,12,4,27,4,13,0,9
Hibernate OGM Core,org.hibernate.ogm.entityentry.impl,TuplePointer,6,36,0,0,3,11,1,4,1,4
Hibernate OGM Core,org.hibernate.ogm.dialect.batch.spi,InsertOrUpdateTupleOperation,47,0,0,0,14,0,5,0,5,0
Hibernate OGM Core,org.hibernate.ogm.dialect.batch.spi,OperationsQueue.new OperationsQueue() {...},5,0,0,0,2,0,2,0,2,0
Hibernate OGM Core,org.hibernate.ogm.dialect.batch.spi,RemoveAssociationOperation,56,0,0,0,15,0,5,0,5,0
Hibernate OGM Core,org.hibernate.ogm.dialect.batch.spi,GroupedChangesToEntityOperation,53,0,0,0,16,0,6,0,6,0
Hibernate OGM Core,org.hibernate.ogm.dialect.batch.spi,InsertOrUpdateAssociationOperation,62,0,0,0,17,0,6,0,6,0
Hibernate OGM Core,org.hibernate.ogm.dialect.batch.spi,RemoveTupleOperation,41,0,0,0,12,0,4,0,4,0
Hibernate OGM Core,org.hibernate.ogm.dialect.batch.spi,OperationsQueue,178,0,14,0,53,0,22,0,15,0
Hibernate OGM Core,org.hibernate.ogm.boot.impl,OgmSessionFactoryBuilderFactory,2,17,1,1,1,3,1,2,0,2
Hibernate OGM Core,org.hibernate.ogm.boot.impl,OgmMetadataBuilderInitializer,1,30,2,2,1,9,2,2,0,2
Hibernate OGM Core,org.hibernate.ogm.boot.impl,OgmServiceRegistryInitializer,45,120,9,3,12,32,7,3,1,3
Hibernate OGM Core,org.hibernate.ogm.boot.impl,OgmSessionFactoryOptions,0,4,0,0,0,2,0,1,0,1
Hibernate OGM Core,org.hibernate.ogm.boot.impl,OgmSessionFactoryBuilderImpl,7,38,1,1,2,8,2,3,1,3
Hibernate OGM Core,org.hibernate.ogm.boot.impl,OgmConfigurationServiceImpl,0,9,0,0,0,4,0,2,0,2
Hibernate OGM Core,org.hibernate.ogm.datastore.document.options.spi,AssociationStorageOption,15,0,0,0,5,0,3,0,3,0
Hibernate OGM Core,org.hibernate.ogm.datastore.document.options.spi,MapStorageOption,15,0,0,0,6,0,3,0,3,0
Hibernate OGM Core,org.hibernate.ogm.transaction.impl,OgmTransactionCoordinatorBuilderInitiator,29,75,5,5,4,17,6,6,1,6
Hibernate OGM Core,org.hibernate.ogm.transaction.impl,ForwardingTransactionCoordinatorOwner,9,28,0,0,4,11,2,6,2,6
Hibernate OGM Core,org.hibernate.ogm.transaction.impl,ForwardingTransactionCoordinator,61,0,0,0,21,0,14,0,14,0
Hibernate OGM Core,org.hibernate.ogm.transaction.impl,ForwardingTransactionCoordinatorBuilder,28,0,0,0,8,0,6,0,6,0
Hibernate OGM Core,org.hibernate.ogm.transaction.impl,OgmJtaPlatformInitiator,14,40,2,2,5,11,2,6,0,6
Hibernate OGM Core,org.hibernate.ogm.transaction.impl,ForwardingTransactionDriver,26,0,0,0,12,0,6,0,6,0
Hibernate OGM Core,org.hibernate.ogm.util.parser.impl,LikeExpressionToRegExpConverter,53,0,4,0,14,0,5,0,3,0
Hibernate OGM Core,org.hibernate.ogm.util.parser.impl,LikeExpressionToRegExpConverter.State,192,0,23,0,40,0,18,0,5,0
Hibernate OGM Core,org.hibernate.ogm.util.parser.impl,LikeExpressionToRegExpConverter.new Object() {...},33,0,0,0,1,0,1,0,1,0
